trade_id,signal_id,setup_id,code,name,signal_date,pullback_date,trigger_date,entry_date,entry_price,entry_adjusted_price,entry_adj_factor,entry_adj_offset,stop_price,stop_adjusted_price,target_price,target_adjusted_price,exit_date,exit_price,exit_adjusted_price,exit_adj_factor,exit_adj_offset,exit_reason,gross_return,net_return,r_multiple,holding_days,round_trip_cost,status,invalid_reason,original_trade_id,audit_category,original_status,original_invalid_reason
STOCK_RS_PULLBACK_v1:002271.SZ:2020-01-16:2020-01-17,STOCK_RS_PULLBACK_v1:002271.SZ:2020-01-14:2020-01-16:triggered,STOCK_RS_PULLBACK_v1,002271.SZ,东方雨虹,2020-01-16,2020-01-14,2020-01-16,2020-01-17,28.49,15.04,0.6689943300507327,-4.018157564906041,26.514660540636985,13.72,32.43399321973412,17.679999999999996,2020-01-23,27.17,14.16245265000796,0.6688683749801042,-4.010701098201473,time_stop_no_upside_progress,-0.05834756316436429,-0.06034756316436429,-0.664808598478818,5,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002271.SZ:2020-01-16:2020-01-17,time_stop_no_upside_progress,valid_trade,
STOCK_RS_PULLBACK_v1:002283.SZ:2020-07-30:2020-07-31,STOCK_RS_PULLBACK_v1:002283.SZ:2020-07-29:2020-07-30:triggered,STOCK_RS_PULLBACK_v1,002283.SZ,天润工业,2020-07-30,2020-07-29,2020-07-30,2020-07-31,6.93,6.03,0.9999999999999991,-0.8999999999999932,6.419999999999998,5.52,7.950000000000002,7.050000000000002,2020-08-13,7.1,6.2,1.0000000000000007,-0.9000000000000039,max_holding_exit,0.028192371475953548,0.026192371475953546,0.33333333333333276,10,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002283.SZ:2020-07-30:2020-07-31,max_holding_exit,valid_trade,
STOCK_RS_PULLBACK_v1:002404.SZ:2015-12-18:2015-12-21,STOCK_RS_PULLBACK_v1:002404.SZ:2015-12-14:2015-12-18:triggered,STOCK_RS_PULLBACK_v1,002404.SZ,嘉欣丝绸,2015-12-18,2015-12-14,2015-12-18,2015-12-21,11.55,9.17,1.000000000000004,-2.380000000000047,10.900000000000002,8.52,12.849999999999996,10.47,2015-12-25,11.1,8.719999999999999,0.9999999999999937,-2.3799999999999297,time_stop_no_upside_progress,-0.04907306434024006,-0.05107306434024006,-0.6923076923076936,5,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002404.SZ:2015-12-18:2015-12-21,time_stop_no_upside_progress,valid_trade,
STOCK_RS_PULLBACK_v1:002407.SZ:2020-12-18:2020-12-21,STOCK_RS_PULLBACK_v1:002407.SZ:2020-12-17:2020-12-18:triggered,STOCK_RS_PULLBACK_v1,002407.SZ,多氟多,2020-12-18,2020-12-17,2020-12-18,2020-12-21,17.2,10.8,0.7136752136752129,-1.4747863247863098,15.994371257485025,9.94,19.609461077844315,12.520000000000003,2020-12-22,19.61292670832094,12.520000000000005,0.7113729363623528,-1.4321052631578777,target_2r,0.15925925925925966,0.15725925925925965,2.000000000000002,2,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002407.SZ:2020-12-18:2020-12-21,target_2r,valid_trade,
STOCK_RS_PULLBACK_v1:002444.SZ:2024-03-29:2024-04-01,STOCK_RS_PULLBACK_v1:002444.SZ:2024-03-26:2024-03-29:triggered,STOCK_RS_PULLBACK_v1,002444.SZ,巨星科技,2024-03-29,2024-03-26,2024-03-29,2024-04-01,25.66,24.41,1.0,-1.25,24.16,22.91,28.66,27.41,2024-04-16,26.72,25.47,1.0,-1.25,max_holding_exit,0.04342482589102814,0.04142482589102814,0.7066666666666658,10,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002444.SZ:2024-03-29:2024-04-01,max_holding_exit,valid_trade,
STOCK_RS_PULLBACK_v1:002564.SZ:2015-11-20:2015-11-23,STOCK_RS_PULLBACK_v1:002564.SZ:2015-11-18:2015-11-20:triggered,STOCK_RS_PULLBACK_v1,002564.SZ,天沃科技,2015-11-20,2015-11-18,2015-11-20,2015-11-23,10.2,10.19,1.0,-0.009999999999999787,9.32,9.31,11.959999999999997,11.949999999999998,2015-12-04,11.42,11.409999999999998,0.9999999999999999,-0.009999999999999787,max_holding_exit,0.11972522080471037,0.11772522080471037,1.3863636363636367,10,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002564.SZ:2015-11-20:2015-11-23,max_holding_exit,valid_trade,
STOCK_RS_PULLBACK_v1:002601.SZ:2016-02-22:2016-02-23,STOCK_RS_PULLBACK_v1:002601.SZ:2016-02-16:2016-02-22:triggered,STOCK_RS_PULLBACK_v1,002601.SZ,龙佰集团,2016-02-22,2016-02-16,2016-02-22,2016-02-23,46.33,4.32,0.28656122974244297,-8.951900527184629,39.92829224479683,2.49,59.08650148662041,7.98,2016-02-26,39.92432392996109,2.49,0.28603227601558157,-8.92964524207012,stop_loss,-0.42361111111111105,-0.42561111111111105,-1.0,4,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002601.SZ:2016-02-22:2016-02-23,extreme_loss,valid_trade,
STOCK_RS_PULLBACK_v1:002821.SZ:2020-02-12:2020-02-13,STOCK_RS_PULLBACK_v1:002821.SZ:2020-02-11:2020-02-12:triggered,STOCK_RS_PULLBACK_v1,002821.SZ,凯莱英,2020-02-12,2020-02-11,2020-02-12,2020-02-13,165.0,110.5,0.7143527956680522,-7.3684304081415775,155.99915207712738,104.07,183.0026160755573,123.36000000000001,2020-02-18,183.00488095813108,123.36000000000001,0.7141544097831798,-7.333742748095176,target_2r,0.11638009049773768,0.11438009049773767,2.0,4,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:002821.SZ:2020-02-12:2020-02-13,target_2r,valid_trade,
STOCK_RS_PULLBACK_v1:300001.SZ:2026-05-18:2026-05-19,STOCK_RS_PULLBACK_v1:300001.SZ:2026-05-15:2026-05-18:triggered,STOCK_RS_PULLBACK_v1,300001.SZ,特锐德,2026-05-18,2026-05-15,2026-05-18,2026-05-19,38.0,37.8,0.9999999999999997,-0.19999999999998863,35.830000000000005,35.63,42.33999999999999,42.139999999999986,2026-06-01,37.83,37.83,1.0,0.0,max_holding_exit,0.0007936507936507908,-0.0012063492063492092,0.013824884792627286,10,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:300001.SZ:2026-05-18:2026-05-19,max_holding_exit,valid_trade,
STOCK_RS_PULLBACK_v1:300039.SZ:2022-02-18:2022-02-21,STOCK_RS_PULLBACK_v1:300039.SZ:2022-02-16:2022-02-18:triggered,STOCK_RS_PULLBACK_v1,300039.SZ,上海凯宝,2022-02-18,2022-02-16,2022-02-18,2022-02-21,7.08,6.64,1.0000000000000009,-0.4400000000000075,6.750000000000001,6.31,7.74,7.3,2022-02-22,7.739999999999999,7.3,0.9999999999999988,-0.43999999999998973,target_2r,0.09939759036144591,0.09739759036144591,2.0,2,0.002,valid_trade,,STOCK_RS_PULLBACK_v1:300039.SZ:2022-02-18:invalid,invalid_trade,invalid_trade,invalid_limit_up_cannot_buy
